Prospect_ID,Industry,Location,Organization,Notes ,Owner ,Source_of_Lead,Contacted,Prospect_Name,Prospect_Title,Prospect_Phone,Prospect_Email,Decision_Rights,Responded,Interest_Level,Status,Follow_Up,Follow_Up_Date,Pain_Points
1000,Banking,"London, England",Standard Chartered Bank,2M followers - LinkedIn,Gino,Self,No,Katherine," London, England",Standard Chartered Bank,2M followers - LinkedIn,Banking,No,High,Qualified,Banking," London, England",Standard Chartered Bank
1001,Retail,"Charlotte, NC",Bank of America,2M followers,Sachin,Employee,No,Lauren," Charlotte, NC",Bank of America,2M followers,Banking,No,Medium,On Hold,Banking," Charlotte, NC",Bank of America
1002,Airlines and Aviation,"Dubai, United Arab Emirates",Emirates NBD,917K followers,Felci,Partner,No,Kevin," Dubai, United Arab Emirates",Emirates NBD,917K followers,Banking,No,High,On Hold,Banking," Dubai, United Arab Emirates",Emirates NBD
1003,Insurance,Singapore,DBS Bank,871K followers,Jestna,Event,No,David, Singapore,DBS Bank,871K followers,Banking,No,Low,Qualified,Banking, Singapore,DBS Bank
1004,Oil and Gas,"Abu Dhabi, Abu Dhabi",First Abu Dhabi Bank (FAB),869K followers,Arjun,Client Initiated,No,Daniel," Abu Dhabi, Abu Dhabi",First Abu Dhabi Bank (FAB),869K followers,Banking,No,Low,Closed (Won),Banking," Abu Dhabi, Abu Dhabi",First Abu Dhabi Bank (FAB)
1005,Retail Apparel and Fashion,"Mooresville, NC",Emirates NBD,871K followers,Gino,Self,No,Emily," Dubai, United Arab Emirates",Emirates NBD,871K followers,Energy,No,Medium,On Hold,Energy," Dubai, United Arab Emirates",Emirates NBD
1006,Health care,Paris,DBS Bank,869K followers,Sachin,Employee,No,Aaron," London, England",DBS Bank,869K followers,Health care,No,High,Closed (Lost),Health care," London, England",DBS Bank
1007,Materials,Bangkok,First Abu Dhabi Bank (FAB),871K followers,Felci,Partner,No,Samantha," London, England",First Abu Dhabi Bank (FAB),871K followers,Materials,No,Low,Not Responding,Materials," London, England",First Abu Dhabi Bank (FAB)
1008,Health care,Dubai,Emirates NBD,2M followers,Jestna,Event,No,Isaac," Charlotte, NC",Emirates NBD,2M followers,Health care,No,High,On Hold,Health care," Charlotte, NC",Emirates NBD
1009,Materials,"Mumbai, Maharashtra",Bank of America,2M followers,Arjun,Client Initiated,No,Steven," Charlotte, NC",Bank of America,2M followers,Materials,Yes,High,Proposal,Materials," Charlotte, NC",Bank of America
1010,Materials,"Woodland Hills, CA",Emirates NBD,869K followers,Gino,Self,No,Cody," London, England",Emirates NBD,869K followers,Materials,No,High,New Lead,Materials," London, England",Emirates NBD
1011,Banking,"Plantation, Florida",Bank of America,869K followers,Sachin,Employee,No,Hayden," Charlotte, NC",Bank of America,869K followers,Banking,No,High,On Hold,Banking," Charlotte, NC",Bank of America
1012,Health care,"Melbourne, Victoria",Emirates NBD,2M followers - LinkedIn,Felci,Partner,No,Brian," Abu Dhabi, Abu Dhabi",Emirates NBD,2M followers - LinkedIn,Health care,No,High,Not Applicable,Health care," Abu Dhabi, Abu Dhabi",Emirates NBD
1013,Banking,Abu Dhabi,Bank of America,917K followers,Jestna,Event,No,Nathan," London, England",Bank of America,917K followers,Banking,Yes,Medium,Not Responding,Banking," London, England",Bank of America
1014,Health care,Zurich,Emirates NBD,869K followers,Arjun,Client Initiated,No,Catherine," Dubai, United Arab Emirates",Emirates NBD,869K followers,Health care,No,High,Closed (Lost),Health care," Dubai, United Arab Emirates",Emirates NBD
1015,IT,"Toronto, Ontario",Emirates NBD,871K followers,Gino,Self,No,Jennifer, Singapore,Emirates NBD,871K followers,IT,Yes,Low,Active Discussions,IT, Singapore,Emirates NBD
1016,Health care,"Dubai, UAE",DBS Bank,2M followers - LinkedIn,Sachin,Employee,No,Michelle," Dubai, United Arab Emirates",DBS Bank,2M followers - LinkedIn,Health care,Yes,Medium,Closed (Won),Health care," Dubai, United Arab Emirates",DBS Bank
1017,IT,"San Francisco, CA",DBS Bank,917K followers,Felci,Partner,No,Robert," Dubai, United Arab Emirates",DBS Bank,917K followers,IT,Yes,Medium,On Hold,IT," Dubai, United Arab Emirates",DBS Bank
1018,IT,"Katy, Texas",Standard Chartered Bank,871K followers,Jestna,Event,No,Jonathan," Abu Dhabi, Abu Dhabi",Standard Chartered Bank,871K followers,IT,Yes,High,New Lead,IT," Abu Dhabi, Abu Dhabi",Standard Chartered Bank
1019,Energy,"Washington, DC",DBS Bank,917K followers,Arjun,Client Initiated,No,Ricardo," Abu Dhabi, Abu Dhabi",DBS Bank,917K followers,Energy,Yes,High,Active Discussions,Energy," Abu Dhabi, Abu Dhabi",DBS Bank
1020,IT,"Redwood City, California",Standard Chartered Bank,917K followers,Gino,Self,No,Sarah," Abu Dhabi, Abu Dhabi",Standard Chartered Bank,917K followers,IT,No,Medium,Proposal,IT," Abu Dhabi, Abu Dhabi",Standard Chartered Bank
1021,IT,"Melbourne, VIC",Emirates NBD,2M followers,Sachin,Employee,No,Jessica," Abu Dhabi, Abu Dhabi",Emirates NBD,2M followers,IT,Yes,Low,New Lead,IT," Abu Dhabi, Abu Dhabi",Emirates NBD
1022,Energy,"JAKARTA, DKI Jakarta",Standard Chartered Bank,2M followers,Felci,Partner,No,James," Dubai, United Arab Emirates",Standard Chartered Bank,2M followers,Energy,No,Medium,Not Applicable,Energy," Dubai, United Arab Emirates",Standard Chartered Bank
1023,Materials,"Riyadh, Riyadh",DBS Bank,869K followers,Jestna,Event,No,Sean," Charlotte, NC",DBS Bank,869K followers,Materials,Yes,High,Not Applicable,Materials," Charlotte, NC",DBS Bank
1024,IT,"Berlin, Berlin",Standard Chartered Bank,2M followers,Arjun,Client Initiated,No,Zachary," Charlotte, NC",Standard Chartered Bank,2M followers,IT,No,Low,Proposal,IT," Charlotte, NC",Standard Chartered Bank
1025,Banking,"Safat, KW",First Abu Dhabi Bank (FAB),869K followers,Gino,Self,No,Carla," London, England",First Abu Dhabi Bank (FAB),869K followers,Banking,No,High,Qualified,Banking," London, England",First Abu Dhabi Bank (FAB)
1026,Materials,"Bengaluru, Karnataka",Bank of America,2M followers,Sachin,Employee,No,Dominic," Abu Dhabi, Abu Dhabi",Bank of America,2M followers,Materials,Yes,High,New Lead,Materials," Abu Dhabi, Abu Dhabi",Bank of America
1027,Materials,"Dubai, Dubai",First Abu Dhabi Bank (FAB),871K followers,Felci,Partner,No,Caroline," Abu Dhabi, Abu Dhabi",First Abu Dhabi Bank (FAB),871K followers,Materials,No,Low,Qualified,Materials," Abu Dhabi, Abu Dhabi",First Abu Dhabi Bank (FAB)
1028,Energy,Casablanca,First Abu Dhabi Bank (FAB),871K followers,Jestna,Event,No,Patrick," Dubai, United Arab Emirates",First Abu Dhabi Bank (FAB),871K followers,Energy,No,Medium,On Hold,Energy," Dubai, United Arab Emirates",First Abu Dhabi Bank (FAB)
1029,Banking,Athens,Bank of America,2M followers,Arjun,Client Initiated,No,Anna, Singapore,Bank of America,2M followers,Banking,Yes,Medium,Not Applicable,Banking, Singapore,Bank of America
1030,IT,"Ras Al Khaimah, Ras Al Khaimah",Standard Chartered Bank,917K followers,Gino,Self,No,Evelyn," Charlotte, NC",Standard Chartered Bank,917K followers,IT,No,Low,Not Applicable,IT," Charlotte, NC",Standard Chartered Bank
1031,Energy,Nanterre,DBS Bank,917K followers,Sachin,Self,No,Charles, Singapore,DBS Bank,917K followers,Energy,No,Medium,New Lead,Energy, Singapore,DBS Bank
1032,Banking,Ahmadi,Standard Chartered Bank,2M followers,Felci,Self,No,Joseph," Abu Dhabi, Abu Dhabi",Standard Chartered Bank,2M followers,Banking,No,Medium,Closed (Won),Banking," Abu Dhabi, Abu Dhabi",Standard Chartered Bank
1033,Health care,"Sydney, New South Wales",Bank of America,2M followers - LinkedIn,Jestna,Self,No,Stephanie," Dubai, United Arab Emirates",Bank of America,2M followers - LinkedIn,Health care,Yes,Medium,Closed (Lost),Health care," Dubai, United Arab Emirates",Bank of America
1034,Energy,UAE,Standard Chartered Bank,2M followers - LinkedIn,Arjun,Self,No,Leah, Singapore,Standard Chartered Bank,2M followers - LinkedIn,Energy,No,Medium,New Lead,Energy, Singapore,Standard Chartered Bank
1035,Energy,"Manama, Kingdom of Bahrain, Manama, Kingdom of Bahrain",Bank of America,917K followers,Gino,Self,No,Maria," Charlotte, NC",Bank of America,917K followers,Energy,Yes,High,Proposal,Energy," Charlotte, NC",Bank of America
1036,Health care,"Luanda, Luanda",First Abu Dhabi Bank (FAB),917K followers,Sachin,Self,No,Courtney," Charlotte, NC",First Abu Dhabi Bank (FAB),917K followers,Health care,No,High,Not Responding,Health care," Charlotte, NC",First Abu Dhabi Bank (FAB)
1037,Health care,Baku,First Abu Dhabi Bank (FAB),869K followers,Felci,Self,No,Dylan," Charlotte, NC",First Abu Dhabi Bank (FAB),869K followers,Health care,Yes,High,New Lead,Health care," Charlotte, NC",First Abu Dhabi Bank (FAB)
1038,Energy,"Paris, Île-de-France",Standard Chartered Bank,2M followers,Jestna,Self,No,Genesis," Dubai, United Arab Emirates",Standard Chartered Bank,2M followers,Energy,Yes,High,Closed (Won),Energy," Dubai, United Arab Emirates",Standard Chartered Bank
1039,Health care,Vienna,DBS Bank,869K followers,Arjun,Self,No,Jasmine," Dubai, United Arab Emirates",DBS Bank,869K followers,Health care,Yes,High,Qualified,Health care," Dubai, United Arab Emirates",DBS Bank
1040,Banking,"Kuwait, Kuwait",Standard Chartered Bank,917K followers,Gino,Self,No,Samuel," Abu Dhabi, Abu Dhabi",Standard Chartered Bank,917K followers,Banking,No,High,Closed (Lost),Banking," Abu Dhabi, Abu Dhabi",Standard Chartered Bank
1041,Materials,"Sharjah, UAE",Bank of America,2M followers,Sachin,Self,No,Ashley," Abu Dhabi, Abu Dhabi",Bank of America,2M followers,Materials,Yes,Low,Not Responding,Materials," Abu Dhabi, Abu Dhabi",Bank of America
1042,Materials,"Watford, Hertfordshire",DBS Bank,917K followers,Felci,Self,No,Owen," Dubai, United Arab Emirates",DBS Bank,917K followers,Materials,Yes,Medium,Not Responding,Materials," Dubai, United Arab Emirates",DBS Bank
1043,Health care,"Gaborone, South East",DBS Bank,917K followers,Jestna,Self,No,Elizabeth," London, England",DBS Bank,917K followers,Health care,No,Low,New Lead,Health care," London, England",DBS Bank
1044,IT,"Houston, TX",Emirates NBD,917K followers,Arjun,Self,No,Gabriel," London, England",Emirates NBD,917K followers,IT,Yes,Low,On Hold,IT," London, England",Emirates NBD
1045,IT,"Hanoi, Thành Ph? Hà N?i",Bank of America,2M followers,Gino,Self,No,Amelia," Dubai, United Arab Emirates",Bank of America,2M followers,IT,Yes,Medium,On Hold,IT," Dubai, United Arab Emirates",Bank of America
1046,Health care,"Istanbul, Istanbul",Bank of America,869K followers,Sachin,Self,No,Carlos," Charlotte, NC",Bank of America,869K followers,Health care,No,Low,Not Responding,Health care," Charlotte, NC",Bank of America
1047,Energy,"Gaborone, Botswana",DBS Bank,869K followers,Felci,Self,No,Caleb," London, England",DBS Bank,869K followers,Energy,Yes,Medium,Qualified,Energy," London, England",DBS Bank
1048,IT,"San Francisco, California",Emirates NBD,869K followers,Jestna,Self,No,Gabrielle," Dubai, United Arab Emirates",Emirates NBD,869K followers,IT,Yes,High,Not Applicable,IT," Dubai, United Arab Emirates",Emirates NBD
1049,IT,"Tashkent, Chilanzar district",DBS Bank,917K followers,Arjun,Self,No,Brandon," Charlotte, NC",DBS Bank,917K followers,IT,Yes,Low,Active Discussions,IT," Charlotte, NC",DBS Bank
1050,IT,"Chiyoda-ku, Tokyo",DBS Bank,871K followers,Gino,Self,No,Carlos," London, England",DBS Bank,871K followers,IT,No,Medium,Active Discussions,IT," London, England",DBS Bank
1051,Banking,"São Paulo, São Paulo",Emirates NBD,qwerty,Sachin,Partner,No,Caleb,qwerty,8709662163,vishalmangalam09@gmail.com,Influencer,No,High,Closed (Won)â€‹,No,20-10-1997,qwerty
1051,Banking,"Belgrade, Belgrade",Emirates NBD,qwerty,Felci,Event,No,Gabrielle,qwerty,8709662163,vishalmangalam09@gmail.com,Not Applicable,No,Medium,Closed (Lost)â€‹,No,qwerty,qwerty
1052,Banking,"Dubai, United Arab Emirates",Standard Chartered Bank,qwerty,Jestna,Event,No,Brandon,qwerty,8709662163,vishalmangalam09@gmail.com,Not Applicable,No,Medium,Closed (Lost)â€‹,No,qwerty,qwerty
